meter_id,site_name,billing_period_start,billing_period_end,kwh_consumption,tariff_code,supplier
MET-LON-01,London HQ,2023-11-01,2023-11-30,24500.0,ELEC-STD,British Gas
MET-LON-01,London HQ,2023-12-01,2023-12-31,28900.0,ELEC-STD,British Gas
MET-PAR-01,Paris Office,2023-11-01,2023-11-30,12300.0,FR-BASE,EDF
MET-PAR-01,Paris Office,2023-12-01,2023-12-31,14100.0,FR-BASE,EDF
MET-TOK-01,Tokyo Factory,2023-11-01,2023-11-30,78200.0,JP-IND,TEPCO
MET-TOK-01,Tokyo Factory,2023-12-01,2023-12-31,82400.0,JP-IND,TEPCO
MET-LON-01,London HQ,2024-01-01,2024-01-31,31000.0,ELEC-STD,British Gas
MET-PAR-01,Paris Office,2024-01-01,2024-02-15,22500.0,FR-BASE,EDF
MET-TOK-01,Tokyo Factory,2024-01-01,2024-01-31,79500.0,JP-IND,TEPCO
MET-LON-01,London HQ,2024-02-01,2024-02-28,26000.0,ELEC-STD,British Gas
